"","C03-C","C03-R","C03-S","A33-C","A33-R","A33-S"
"ZFPM2",639.066510869107,699.815724607733,790.351603052982,2123.24418053537,1518.35366609389,2374.91752548815
"H3Y1",126.882057713538,136.755304446867,119.716652355851,0,0,0
"UBXN10",4.65622230141426,5.06501127580989,0,75.319393921102,88.8492006231073,126.523990440853
"TMEM132B",2159.32309228086,2838.93882009144,2726.87930366106,321.299186726726,759.176833046946,656.472835648033
"CDK18",151.327224795963,212.730473584015,208.395654100926,733.172328168702,511.98252240246,602.544577427342
"GCNT4",82.6479458501031,178.963731745283,211.721116666367,11.4409205956104,7.91725550106897,17.6303921106107
"SMPD4BP",810.182680446081,839.103534692504,793.677065618422,1452.99691564253,1519.23336114957,1640.66354817565
"MBD6",740.339345924867,650.009780395602,682.828313437078,1408.18664330972,1274.6781356721,1386.57848540509
"PCDHGA2",137.358557891721,184.872911567061,172.924053402896,24.7886612904893,37.8268873939962,34.2237023323619
"BCYRN1",940.55690488568,1012.15808661601,1150.61004764235,212.610441068427,288.53997826118,399.276527210889
"GREM2",1001.08779480407,1445.21655069775,1347.92082652514,182.101319480133,206.728338083467,404.461936655186
"AK7",33.7576116852534,22.7925507411445,28.8206755671494,143.01150744513,133.713648462498,170.08142977295
"FOXP4",1075.58735162669,992.742210058738,1193.84106099307,2181.40219356306,2024.17832310663,2294.02513815711
"PPM1K",4405.95035271324,4337.3379891852,4411.78033681749,2173.77491316598,1764.6682816827,2351.06464204438
"TMOD2",13991.9480157498,16077.1899579665,16311.3938834847,6336.36318986891,7721.08350365359,8113.0916165475
"RORB",2545.78954329824,3748.10834409932,3754.44723638212,659.759754346868,1226.29490761002,728.031485979335
"LTBP3",1690.20869541338,1554.11429312767,1499.78361701358,2809.699416272,2756.96430448335,2954.64630136058
"TNFAIP8L3",74.4995568226281,108.053573883944,176.249515968337,5.72046029780522,0,6.22249133315671
"CDH10",1207.12563164165,1812.42986819397,1883.32029956103,327.973057074166,439.847527837165,576.617530205855
"PRKG2",208.365947988288,325.004890197801,369.126344763875,28.6023014890261,60.6989588415287,58.0765857761293
