"","C03-R","C09-R","A33-R"
"MED12",2201.17622160397,1315.79256856036,2692.42212037434
"MED12L",567.468688168958,464.028515044322,464.757443671537
"MED13",3431.16225052077,2019.15110600367,4243.26518934227
"MED13L",8394.39585152091,2251.16536352583,8476.62083830774
"MED14",2851.45957736641,1886.4222289527,2844.03808813926
"MED15",2277.4033588207,1978.39184454707,2300.99527549107
"MED15P9",238.092169331254,43.8945892609494,482.594616349763
"MED16",1904.73735465004,2277.29309522878,1738.13338208929
"MED17",351.021261504181,227.83382044969,484.576524425121
"MED18",179.745471708575,455.667640899379,317.105292057339
"MED19",920.372101209355,1061.83101640773,831.410437612836
"MED20",281.38165466421,415.953488710901,287.376670926963
"MED21",1159.40534630872,803.68902718262,1079.14894703263
"MED22",950.486525788802,1190.37945638622,1090.0494414471
"MED23",2238.81925232828,1132.89844663974,2673.59399365844
"MED24",4488.93141387385,4303.75996610927,3943.99706996315
"MED25",1641.23613957987,2116.34626793863,1586.51741432437
"MED26",218.329578200992,282.179502391817,219.0008423271
"MED27",686.044234950532,912.380391066876,805.645632633177
"MED28",3690.8991625185,2511.39757128717,4279.9304887364
"MED28-DT",41.4073337967399,17.7668575580033,17.8371726782253
"MED29",2318.81069261743,2590.82587566413,2191.99033134636
"MED30",420.660868344153,369.968680913716,459.802673483142
"MED31",144.92566828859,107.646254616138,152.606921802594
"MED4",944.840071180156,1044.06415884972,916.632484853246
"MED6",564.645460864635,550.772584298103,596.554330682869
"MED7",751.919538718072,498.517120892211,592.590514532152
"MED8",524.179202836003,757.704219385435,602.500054908944
"MED8-AS1",40.4662580286322,39.714152188478,72.3396447505805
"MED9",938.252540803402,1063.92123494396,885.912909685191
"MEF2A",3766.18522396712,1134.98866517598,2070.10298471182
"MEF2C",18951.3838181534,920.741265211819,3070.96656276779
"MEF2C-AS1",296.438866953933,89.8793970581344,186.299359083687
"MEF2C-AS2",182.568699012899,246.645787275811,280.439992663209
"MEF2D",3667.3722683158,1484.05516072734,2363.42537986485
"MEGF10",1307.15424190163,1189.3343471181,3628.87368598117
"MEGF11",256.913684693409,381.464882863012,170.44409448082
"MEGF6",800.855478659674,725.305832073782,1474.53960806663
"MEGF8",8959.04131238554,8367.14480055144,6643.35586860125
"MEGF9",4309.18594216527,2220.85719475041,3797.33587238663
"MEIOC",161.865032114529,66.8869931595419,131.796887011332
"MEIS1",391.487519532814,545.547037957514,864.111920856249
"MEIS2",7555.89734213692,3727.90475937634,8845.2557403244
"MEIS3",4429.64364048306,4021.58046371746,4559.37952736193
"MELK",81.8735918253721,308.307234094763,444.938362917954
"MELTF",90.3432737383416,474.4796077255,61.4391503361094
"MELTF-AS1",99.7540314194189,164.082155094501,110.986852220069
"MEMO1",537.354263589511,427.449690660197,567.816663590173
"MEMO1P1",151.513198665344,55.3907912102456,79.2763230143347
"MEN1",2271.75690421205,1871.79069919906,2219.73704440137
"MEP1B",36.7019549562013,4.18043707247137,53.511518034676
"MEPCE",191.979456693976,232.014257522161,186.299359083687
"MERTK",61.1699249270021,531.960617471982,214.046072138704
"MESD",893.080903934231,2121.57181427922,1216.89155827004
"MEST",3255.18108188462,12353.1915491529,6347.06061133518
"MESTIT1",21.6447426664777,18.8119668261212,36.6652993941298
"METAP1",1705.2292918112,1190.37945638622,1610.30031122867
"METAP1D",111.988016404819,160.946827290148,203.145577724233
"METAP2",1961.2019007365,3601.44653793408,2669.63017750772
"METRN",306.790700403118,5441.8839590896,712.495953091334
"METRNL",248.444002780439,1328.33387977778,439.983592729558
"METTL1",103.51833449185,168.262592166973,114.950668370785
"METTL13",990.952783817434,877.891785218987,928.523933305396
"METTL14",1660.99873071013,942.688559842293,1539.94257455345
"METTL14-DT",191.979456693976,76.2929765726025,139.724519312765
"METTL15",457.362823300354,685.591679885304,667.90302139577
"METTL15P1",35.7608791880936,14.6315297536498,16.8462186405461
"METTL16",1317.50607535082,1469.42363097369,1664.80278330103
"METTL17",974.954495759603,885.207550095812,1170.31671849912
"METTL18",148.689971361021,268.593081906285,236.838015005325
"METTL21A",440.423459474415,420.133925783372,536.106134384439
"METTL22",1070.00314833848,724.260722805664,1091.04039548478
"METTL23",243.738623939901,493.291574551621,340.888188961639
"METTL25",45.1716368691708,75.2478673044846,85.2220472404099
"METTL25B",634.285067704607,753.523782312964,692.67687233775
"METTL26",1065.29776949794,1777.73086506845,1209.95488000628
"METTL27",5.64645460864635,232.014257522161,16.8462186405461
